Reference,Midland,Buchanan
DALIAN,1.047401,1.04657
NINGBO,1.047401,1.04657
QINGDAO,1.047401,1.04657
QINGDAO2,1.047401,1.04657
SHANGHAI,1.047401,1.04657
SHENZHEN,1.047401,1.04657
TIANJIN,1.047401,1.04657
XINGANG,1.047401,1.04657
XIAMEN,1.047401,1.04657
AHMEDABAD,1.054137,1.039917
CHENNAI,1.058212,1.044075
DADRI,1.054137,1.039917
MUMBAI,1.04,1.032432
MUNDRA,1.04,1.032432
NHAVA SHEVA,1.04,1.032432
SURABAYA,1.049064,1.048233
PORT KLANG,1.049064,1.048233
PASIR GUDANG,1.049064,1.048233
TANJUNG PELAPAS,1.049064,1.048233
BUSAN,1.047401,1.04657
KAOHSIUNG,1.047401,1.04657
KEELUNG,1.047401,1.04657
TAICHUNG,1.047401,1.04657
TAIPEI,1.047401,1.04657
BANGKOK,1.048233,1.047401
LAEM CHABANG,1.048233,1.047401
HO CHI MINH CITY,1.046653,1.045738
VUNG TAU,1.046653,1.045738
HAI PHONG,1.046653,1.045738
VIRGINIA,1.002564,1.005127
