ROW ID #,Division,Part #,Item Description,Material,Manufacturing class id,Average copper content (%),"Base copper tariff 
(applicable to brass, copper and bronze dependent on average copper content %)","Brass, copper, bronze tariff",Steel and iron tariff,Aluminum tariff,China tariffs and duties,India tariffs and duties,Thailand tariffs and duties,Vietnam tariffs and duties,Malaysia tariffs and duties,Italy tariffs and duties,Taiwan tariffs and duties,Indonesia tariffs and duties
5534,Midland,39531,EMER. GLADHAND W/ FLANGE MOUNT,Aluminum,8716.90.5060,,,,,Tariff exempt,0.631,0.281,0.281,0.281,0.281,0.15,0.281,0.281
5535,Midland,39537,1 RED1 BLUE ALUMINUM GLADHAND GRIP,Aluminum,8716.90.5060,,,,,Tariff exempt,0.631,0.281,0.281,0.281,0.281,0.15,0.281,0.281
5541,Midland,39870,ALUM UNIVERSAL GLADHAND,Aluminum,8716.90.5060,,,,,Tariff exempt,0.631,0.281,0.281,0.281,0.281,0.15,0.281,0.281
5542,Midland,39871,ALUM UNIV GLADHAND W/SCREEN,Aluminum,8716.90.5060,,,,,Tariff exempt,0.631,0.281,0.281,0.281,0.281,0.15,0.281,0.281
5543,Midland,39874,ALUM SERVICE GLADHAND,Aluminum,8716.90.5060,,,,,Tariff exempt,0.631,0.281,0.281,0.281,0.281,0.15,0.281,0.281
5544,Midland,39875,ALUM SERVICE GLADHAND W/FILTER,Aluminum,8716.90.5060,,,,,Tariff exempt,0.631,0.281,0.281,0.281,0.281,0.15,0.281,0.281
5545,Midland,39877,ALUM EMERGENCY GLADHAND,Aluminum,8716.90.5060,,,,,Tariff exempt,0.631,0.281,0.281,0.281,0.281,0.15,0.281,0.281
5546,Midland,39878,ALUM EMER GLADHAND W/FILTER,Aluminum,8716.90.5060,,,,,Tariff exempt,0.631,0.281,0.281,0.281,0.281,0.15,0.281,0.281
6850,Midland,03C03395,5 PORT ALUM AIR DISTRIBUTOR,Aluminum,8481.10.0090,,,,,Tariff exempt,0.47,0.52,0.21,0.22,0.21,0.15,0.22,0.21
7872,Midland,320054,SAFETY BLOW GUN,Aluminum,8424.20.9000,,,,,Tariff exempt,0.45,0.5,0.19,0.2,0.19,0.15,0.2,0.19
7886,Midland,320120,1/4 INLET WITH THREE 1/4 OUTLETS,Aluminum,7609.00.0000,,,,,0.5,0.40700000000000003,0.057,0.057,0.257,0.057,0.057,0.257,0.057
