ROW ID #,Material
5534,Aluminum
5535,Aluminum
5541,Aluminum
5542,Aluminum
5543,Aluminum
5544,Aluminum
5545,Aluminum
5546,Aluminum
6850,Aluminum
7872,Aluminum
7886,Aluminum
7887,Aluminum
8448,Aluminum
8449,Aluminum
8450,Aluminum
8712,Aluminum
9200,Aluminum
9201,Aluminum
9202,Aluminum
9204,Aluminum
9280,Aluminum
9680,Aluminum
9686,Aluminum
10032,Aluminum
11801,Aluminum
11803,Aluminum
11858,Aluminum
11860,Aluminum
11862,Aluminum
11864,Aluminum
11866,Aluminum
11871,Aluminum
11873,Aluminum
11876,Aluminum
11877,Aluminum
11879,Aluminum
11883,Aluminum
11884,Aluminum
11886,Aluminum
11889,Aluminum
11892,Aluminum
11938,Aluminum
11940,Aluminum
11942,Aluminum
11945,Aluminum
11948,Aluminum
11951,Aluminum
11954,Aluminum
11955,Aluminum
11959,Aluminum
11963,Aluminum
11964,Aluminum
11966,Aluminum
11967,Aluminum
11968,Aluminum
11970,Aluminum
11972,Aluminum
11974,Aluminum
11978,Aluminum
11979,Aluminum
11983,Aluminum
11987,Aluminum
11990,Aluminum
11992,Aluminum
11994,Aluminum
11997,Aluminum
12001,Aluminum
12004,Aluminum
12008,Aluminum
12009,Aluminum
12011,Aluminum
12014,Aluminum
12015,Aluminum
12016,Aluminum
12018,Aluminum
12020,Aluminum
12027,Aluminum
12030,Aluminum
12032,Aluminum
12035,Aluminum
12038,Aluminum
12039,Aluminum
12040,Aluminum
12044,Aluminum
12045,Aluminum
12048,Aluminum
12049,Aluminum
12050,Aluminum
12052,Aluminum
12053,Aluminum
12056,Aluminum
12057,Aluminum
12059,Aluminum
12062,Aluminum
12064,Aluminum
12066,Aluminum
12070,Aluminum
12072,Aluminum
12076,Aluminum
12080,Aluminum
12082,Aluminum
12085,Aluminum
12088,Aluminum
12091,Aluminum
12094,Aluminum
12095,Aluminum
12097,Aluminum
12100,Aluminum
12101,Aluminum
12103,Aluminum
12105,Aluminum
12107,Aluminum
12145,Aluminum
12150,Aluminum
12210,Aluminum
12220,Aluminum
12368,Aluminum
12490,Aluminum
12563,Aluminum
12564,Aluminum
12565,Aluminum
12567,Aluminum
12568,Aluminum
12569,Aluminum
12570,Aluminum
12572,Aluminum
12573,Aluminum
12574,Aluminum
12575,Aluminum
12577,Aluminum
12578,Aluminum
12588,Aluminum
12590,Aluminum
12592,Aluminum
12593,Aluminum
12655,Aluminum
12656,Aluminum
12658,Aluminum
12660,Aluminum
12661,Aluminum
12663,Aluminum
12666,Aluminum
12667,Aluminum
12670,Aluminum
12672,Aluminum
12673,Aluminum
12674,Aluminum
12675,Aluminum
12676,Aluminum
12677,Aluminum
12679,Aluminum
12680,Aluminum
12682,Aluminum
12684,Aluminum
12685,Aluminum
12687,Aluminum
12689,Aluminum
12690,Aluminum
12691,Aluminum
12692,Aluminum
12693,Aluminum
12695,Aluminum
12697,Aluminum
12699,Aluminum
12702,Aluminum
12705,Aluminum
12706,Aluminum
12709,Aluminum
12710,Aluminum
12713,Aluminum
12714,Aluminum
12715,Aluminum
12716,Aluminum
12717,Aluminum
12718,Aluminum
12720,Aluminum
12723,Aluminum
12724,Aluminum
12726,Aluminum
12729,Aluminum
12731,Aluminum
12734,Aluminum
12736,Aluminum
12737,Aluminum
12738,Aluminum
12739,Aluminum
12740,Aluminum
12742,Aluminum
12744,Aluminum
12746,Aluminum
12748,Aluminum
12751,Aluminum
12752,Aluminum
12755,Aluminum
12758,Aluminum
12759,Aluminum
12760,Aluminum
12761,Aluminum
12762,Aluminum
12765,Aluminum
12768,Aluminum
12770,Aluminum
12773,Aluminum
12776,Aluminum
12777,Aluminum
12780,Aluminum
12781,Aluminum
12784,Aluminum
12785,Aluminum
12786,Aluminum
12787,Aluminum
12788,Aluminum
12789,Aluminum
12792,Aluminum
12795,Aluminum
12796,Aluminum
12798,Aluminum
12801,Aluminum
12802,Aluminum
12805,Aluminum
12808,Aluminum
12809,Aluminum
12810,Aluminum
12811,Aluminum
12812,Aluminum
12815,Aluminum
12818,Aluminum
12821,Aluminum
12824,Aluminum
12827,Aluminum
12828,Aluminum
12831,Aluminum
12833,Aluminum
12834,Aluminum
12835,Aluminum
12836,Aluminum
12837,Aluminum
12838,Aluminum
12839,Aluminum
12840,Aluminum
12841,Aluminum
